epoch_ms,total_s,http_code
1786475103000,0.129,200
1786475104000,0.166,200
1786475105001,0.074,200
1786475106001,0.106,200
1786475107001,0.039,200
1786475108001,0.091,200
1786475109001,0.043,200
1786475110001,0.093,200
1786475111001,0.034,200
1786475112001,0.078,200
1786475113002,0.068,200
1786475114002,0.056,200
1786475115002,0.125,200
1786475116002,0.086,200
1786475117002,0.033,200
1786475118002,0.049,200
1786475119002,0.118,200
1786475120003,0.105,200
1786475121003,0.070,200
1786475122003,0.224,200
1786475123003,0.100,200
1786475124003,0.355,200
1786475125003,0.037,200
1786475126003,0.136,200
1786475127004,0.088,200
1786475128004,0.018,200
1786475129004,0.011,200
1786475130004,0.075,200
1786475131004,0.467,200
1786475132004,0.009,200
1786475133004,0.073,200
1786475134004,0.094,200
1786475135005,0.009,200
1786475136005,0.486,200
1786475137005,0.029,200
1786475138005,0.119,200
1786475139005,0.176,200
1786475140005,0.091,200
1786475141005,0.025,200
1786475142006,0.034,200
1786475143006,0.019,200
1786475144006,0.437,200
1786475145006,0.019,200
1786475146006,0.057,200
1786475147007,0.276,200
1786475148007,0.095,200
1786475149007,1.148,200
1786475150154,0.369,200
1786475151155,0.990,200
1786475152155,0.277,200
1786475153155,0.812,200
1786475154155,0.587,200
1786475155155,1.101,200
1786475156257,0.008,200
1786475157257,0.023,200
1786475158257,0.008,200
1786475159257,0.010,200
1786475160257,0.009,200
1786475161257,0.010,200
1786475162258,0.085,200
1786475163258,0.063,200
1786475164258,0.064,200
1786475165258,0.056,200
1786475166258,0.110,200
1786475167258,0.146,200
1786475168259,0.013,200
1786475169259,0.067,200
1786475170259,0.055,200
1786475171259,0.080,200
1786475172259,0.045,200
1786475173259,0.045,200
1786475174260,0.009,200
1786475175260,0.062,200
1786475176260,0.170,200
1786475177260,0.051,200
1786475178260,0.052,200
1786475179260,0.032,200
1786475180261,0.033,200
1786475181261,0.054,200
1786475182261,0.037,200
1786475183261,0.044,200
1786475184261,0.039,200
1786475185261,0.089,200
1786475186262,0.045,200
1786475187262,0.019,200
1786475188262,0.030,200
1786475189262,0.111,200
1786475190262,0.018,200
1786475191262,0.026,200
1786475192263,0.032,200
1786475193263,0.058,200
1786475194263,0.061,200
1786475195263,0.102,200
1786475196263,0.060,200
1786475197263,0.065,200
1786475198264,0.010,200
1786475199264,0.010,200
1786475200264,0.083,200
1786475201264,0.091,200
1786475202264,0.074,200
1786475203264,0.019,200
1786475204265,0.057,200
1786475205265,0.009,200
1786475206265,0.010,200
1786475207265,0.029,200
1786475208265,0.041,200
1786475209265,0.075,200
1786475210266,0.008,200
1786475211266,0.008,200
1786475212266,0.020,200
1786475213266,0.083,200
1786475214266,0.016,200
1786475215266,0.077,200
1786475216266,0.011,200
1786475217267,0.015,200
1786475218267,0.019,200
1786475219267,0.013,200
1786475220267,0.038,200
1786475221267,0.012,200
1786475222268,0.008,200
1786475223268,0.266,200
1786475224268,0.010,200
1786475225268,0.009,200
1786475226268,0.009,200
1786475227268,0.007,200
1786475228268,0.008,200
1786475229269,0.010,200
1786475230269,0.031,200
1786475231269,0.042,200
1786475232269,0.038,200
1786475233269,0.010,200
1786475234269,0.008,200
1786475235270,0.015,200
1786475236270,0.019,200
1786475237270,0.016,200
1786475238270,0.019,200
1786475239271,0.019,200
1786475240271,0.015,200
1786475241272,0.015,200
1786475242272,0.010,200
1786475243273,0.015,200
1786475244273,0.014,200
1786475245273,0.016,200
1786475246273,0.016,200
1786475247274,0.015,200
1786475248274,0.014,200
1786475249274,0.011,200
1786475250274,0.014,200
1786475251274,0.014,200
1786475252275,0.014,200
1786475253276,0.014,200
1786475254276,0.015,200
1786475255276,0.014,200
1786475256277,0.013,200
1786475257277,0.015,200
1786475258278,0.011,200
1786475259278,0.012,200
1786475260278,0.013,200
1786475261279,0.044,200
1786475262279,0.014,200
1786475263279,0.013,200
1786475264279,0.014,200
1786475265279,0.009,200
1786475266280,0.010,200
1786475267280,0.013,200
1786475268280,0.013,200
1786475269280,0.013,200
1786475270280,0.013,200
1786475271281,0.013,200
1786475272281,0.015,200
1786475273281,0.014,200
1786475274281,0.014,200
1786475275281,0.014,200
