epoch_ms,http_code,total_s,connect_s,ttfb_s
1786421805682,200,0.063,0.000,0.063
1786421806682,200,0.009,0.000,0.009
1786421807682,200,0.013,0.000,0.013
1786421808682,200,0.013,0.000,0.013
1786421809682,200,0.011,0.000,0.011
1786421810683,200,0.012,0.000,0.012
1786421811683,200,0.008,0.000,0.008
1786421812683,200,0.137,0.000,0.137
1786421813683,200,0.010,0.000,0.010
1786421814683,200,1.821,0.000,1.821
1786421816504,200,3.193,0.000,3.193
1786421819696,200,0.750,0.000,0.750
1786421820697,200,0.877,0.000,0.877
1786421821697,200,1.270,0.000,1.270
1786421822967,200,1.825,0.000,1.825
1786421824792,200,0.013,0.000,0.013
1786421825792,200,0.128,0.000,0.128
1786421826792,200,0.121,0.000,0.121
1786421827792,200,0.007,0.000,0.007
1786421828793,200,0.009,0.000,0.009
1786421829793,200,0.008,0.000,0.008
1786421830793,200,0.168,0.000,0.168
1786421831793,200,0.022,0.000,0.022
1786421832793,200,0.177,0.000,0.177
1786421833793,200,0.082,0.000,0.082
1786421834793,200,0.030,0.000,0.030
1786421835793,200,0.009,0.000,0.008
1786421836793,200,0.102,0.000,0.102
1786421837794,200,0.008,0.000,0.008
1786421838794,200,0.105,0.000,0.105
1786421839794,200,0.013,0.000,0.013
1786421840794,200,0.772,0.000,0.772
1786421841794,200,1.096,0.000,1.096
1786421842890,200,1.994,0.000,1.994
1786421844884,200,1.378,0.000,1.378
1786421846262,200,1.091,0.000,1.091
1786421847354,200,0.782,0.000,0.782
1786421848354,200,1.747,0.000,1.747
1786421850101,200,1.700,0.000,1.700
1786421851801,200,0.009,0.000,0.009
1786421852801,200,0.088,0.000,0.088
1786421853801,200,0.434,0.000,0.434
1786421854801,200,0.047,0.000,0.047
1786421855801,200,0.046,0.000,0.046
1786421856801,200,0.164,0.000,0.164
1786421857801,200,0.081,0.000,0.081
1786421858801,200,0.080,0.000,0.080
1786421859801,200,0.074,0.000,0.074
1786421860801,200,0.296,0.000,0.296
1786421861802,200,0.179,0.000,0.179
1786421862802,200,0.009,0.000,0.009
1786421863802,200,0.074,0.000,0.074
1786421864802,200,0.069,0.000,0.069
