epoch_ms,endpoint,http_code,total_s,bytes,regime_lab_status
1786422294720,/api/research/regime-lab?view=pooled,200,0.123,13307,absent
1786422296843,/api/research/regime-lab?view=pooled,200,0.136,13307,absent
1786422298979,/api/research/regime-lab?view=pooled,200,0.254,13307,absent
1786422301233,/api/research/regime-lab?view=pooled,200,0.293,13307,absent
1786422303526,/api/research/regime-lab?view=pooled,200,0.092,13307,absent
1786422305619,/api/research/regime-lab?view=pooled,200,0.059,13307,absent
1786422307678,/api/research/regime-lab?view=pooled,200,0.183,13307,absent
1786422309862,/api/research/regime-lab?view=pooled,200,0.124,13307,absent
1786422311986,/api/research/regime-lab?view=pooled,200,0.336,13307,absent
1786422314322,/api/research/regime-lab?view=pooled,200,0.127,13307,absent
1786422316450,/api/research/regime-lab?view=pooled,200,0.144,13307,absent
1786422318593,/api/research/regime-lab?view=pooled,200,0.172,13307,absent
1786422320765,/api/research/regime-lab?view=pooled,200,0.366,13307,absent
1786422323131,/api/research/regime-lab?view=pooled,200,0.060,13307,absent
1786422325191,/api/research/regime-lab?view=pooled,200,0.196,13307,absent
1786422327388,/api/research/regime-lab?view=pooled,200,0.118,13307,absent
1786422329506,/api/research/regime-lab?view=pooled,200,0.210,13307,absent
1786422331716,/api/research/regime-lab?view=pooled,200,0.127,13307,absent
1786422333843,/api/research/regime-lab?view=pooled,200,0.846,13307,absent
1786422336689,/api/research/regime-lab?view=pooled,200,0.107,13307,absent
1786422338797,/api/research/regime-lab?view=pooled,200,0.158,13307,absent
1786422340955,/api/research/regime-lab?view=pooled,200,0.181,13307,absent
1786422343136,/api/research/regime-lab?view=pooled,200,0.405,13307,absent
1786422345541,/api/research/regime-lab?view=pooled,200,0.043,13307,absent
1786422347584,/api/research/regime-lab?view=pooled,200,0.149,13307,absent
1786422349733,/api/research/regime-lab?view=pooled,200,0.272,13307,absent
1786422352005,/api/research/regime-lab?view=pooled,200,0.150,13307,absent
1786422354155,/api/research/regime-lab?view=pooled,200,0.131,13307,absent
1786422356286,/api/research/regime-lab?view=pooled,200,0.209,13307,absent
1786422358495,/api/research/regime-lab?view=pooled,200,0.178,13307,absent
1786422360673,/api/research/regime-lab?view=pooled,200,0.145,13307,absent
1786422362818,/api/research/regime-lab?view=pooled,200,0.075,13307,absent
1786422364893,/api/research/regime-lab?view=pooled,200,0.121,13307,absent
1786422367014,/api/research/regime-lab?view=pooled,200,0.111,13307,absent
1786422369125,/api/research/regime-lab?view=pooled,200,0.062,13307,absent
1786422371187,/api/research/regime-lab?view=pooled,200,0.135,13307,absent
1786422373322,/api/research/regime-lab?view=pooled,200,0.461,13307,absent
1786422375783,/api/research/regime-lab?view=pooled,200,0.160,13307,absent
1786422377944,/api/research/regime-lab?view=pooled,200,0.145,13307,absent
1786422380088,/api/research/regime-lab?view=pooled,200,0.281,13307,absent
1786422382370,/api/research/regime-lab?view=pooled,200,0.095,13307,absent
1786422384465,/api/research/regime-lab?view=pooled,200,0.138,13307,absent
1786422386603,/api/research/regime-lab?view=pooled,200,0.149,13307,absent
1786422388752,/api/research/regime-lab?view=pooled,200,0.209,13307,absent
1786422390961,/api/research/regime-lab?view=pooled,200,0.183,13307,absent
1786422393144,/api/research/regime-lab?view=pooled,200,0.324,13307,absent
1786422395468,/api/research/regime-lab?view=pooled,200,0.216,13307,absent
1786422397685,/api/research/regime-lab?view=pooled,200,0.075,13307,absent
