epoch,worker,http_code,time_total_s,evidence_status,evidence_asof
1784887072,1,200,1.079589,ready,2026-07-22
1784887072,5,200,1.071790,ready,2026-07-22
1784887072,2,200,1.101581,ready,2026-07-22
1784887072,6,200,1.061828,ready,2026-07-22
1784887072,4,200,1.082819,ready,2026-07-22
1784887073,1,200,1.103795,ready,2026-07-22
1784887073,2,200,1.082926,ready,2026-07-22
1784887073,3,200,1.128223,ready,2026-07-22
1784887073,5,200,1.121269,ready,2026-07-22
1784887073,6,200,1.109780,ready,2026-07-22
1784887073,4,200,1.108556,ready,2026-07-22
1784887074,1,200,1.086128,ready,2026-07-22
1784887074,3,200,1.082538,ready,2026-07-22
1784887074,2,200,1.106858,ready,2026-07-22
1784887074,4,200,1.070482,ready,2026-07-22
1784887074,5,200,1.107525,ready,2026-07-22
1784887074,6,200,1.105603,ready,2026-07-22
1784887075,3,200,1.062998,ready,2026-07-22
1784887075,2,200,1.102777,ready,2026-07-22
1784887075,4,200,1.101768,ready,2026-07-22
1784887075,1,200,1.149284,ready,2026-07-22
1784887075,5,200,1.100487,ready,2026-07-22
1784887075,6,200,1.114683,ready,2026-07-22
1784887076,3,200,1.062831,ready,2026-07-22
1784887076,2,200,1.023003,ready,2026-07-22
1784887076,5,200,1.017920,ready,2026-07-22
1784887076,4,200,1.042601,ready,2026-07-22
1784887076,1,200,1.051353,ready,2026-07-22
1784887076,6,200,1.029740,ready,2026-07-22
1784887077,2,200,1.077600,ready,2026-07-22
1784887077,3,200,1.109115,ready,2026-07-22
1784887077,4,200,1.063562,ready,2026-07-22
1784887077,5,200,1.086578,ready,2026-07-22
1784887077,1,200,1.115865,ready,2026-07-22
1784887077,6,200,1.119887,ready,2026-07-22
1784887078,5,200,1.074151,ready,2026-07-22
1784887078,3,200,1.094924,ready,2026-07-22
1784887078,2,200,1.121219,ready,2026-07-22
1784887078,4,200,1.113692,ready,2026-07-22
1784887078,6,200,1.055352,ready,2026-07-22
1784887078,1,200,1.065920,ready,2026-07-22
1784887079,2,200,1.039796,ready,2026-07-22
1784887079,3,200,1.076025,ready,2026-07-22
1784887079,4,200,1.055704,ready,2026-07-22
1784887079,5,200,1.090282,ready,2026-07-22
1784887080,6,200,1.065475,ready,2026-07-22
1784887080,1,200,1.073181,ready,2026-07-22
1784887081,2,200,1.093334,ready,2026-07-22
1784887081,4,200,1.080284,ready,2026-07-22
1784887081,3,200,1.093946,ready,2026-07-22
1784887081,5,200,1.099033,ready,2026-07-22
1784887081,6,200,1.096875,ready,2026-07-22
1784887081,1,200,1.103492,ready,2026-07-22
1784887082,2,200,1.075444,ready,2026-07-22
1784887082,4,200,1.074918,ready,2026-07-22
1784887082,5,200,1.058186,ready,2026-07-22
1784887082,3,200,1.080314,ready,2026-07-22
1784887082,6,200,1.067807,ready,2026-07-22
1784887082,1,200,1.065355,ready,2026-07-22
1784887083,2,200,1.054860,ready,2026-07-22
1784887083,4,200,1.053456,ready,2026-07-22
1784887083,5,200,1.095726,ready,2026-07-22
